	CT	CT	CT	CT	CT	CT	CT	CT	CT	CT	CT	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP
1367478_at	231.7842853	193.9724714	197.903437	178.6438777	189.2636996	190.5426141	190.469632	183.4068651	175.7732471	171.6175005	170.6188021	231.7842853	193.9724714	197.903437	178.6438777	189.2636996	190.5426141	190.469632	183.4068651	175.7732471	171.6175005	170.6188021
1367479_at	1051.256697	1134.746752	1299.289553	1255.317046	1240.56721	1187.526668	1187.462367	1200.562619	1224.429604	1244.44462	1281.112376	1051.256697	1134.746752	1299.289553	1255.317046	1240.56721	1187.526668	1187.462367	1200.562619	1224.429604	1244.44462	1281.112376
1367480_at	580.2478089	480.2674097	419.0481606	421.72653	427.9546081	453.8642021	449.7296117	418.1841557	409.3604135	386.6888836	381.6181317	580.2478089	480.2674097	419.0481606	421.72653	427.9546081	453.8642021	449.7296117	418.1841557	409.3604135	386.6888836	381.6181317
1367481_at	824.8089703	639.677255	601.8624076	558.5747361	594.0221195	645.6852578	633.7991669	579.7869399	563.6350425	558.3229412	534.5689587	824.8089703	639.677255	601.8624076	558.5747361	594.0221195	645.6852578	633.7991669	579.7869399	563.6350425	558.3229412	534.5689587
1367482_at	435.4358772	480.1134618	454.7535559	502.508502	456.4624652	472.1099921	488.7847732	476.2250814	435.5092069	476.8486114	465.3189646	435.4358772	480.1134618	454.7535559	502.508502	456.4624652	472.1099921	488.7847732	476.2250814	435.5092069	476.8486114	465.3189646
1367483_at	243.903713	292.1784933	263.6439799	297.5179401	266.6330163	265.4223748	271.30621	264.263323	264.1759678	272.7236492	274.0901345	243.903713	292.1784933	263.6439799	297.5179401	266.6330163	265.4223748	271.30621	264.263323	264.1759678	272.7236492	274.0901345
1367484_at	983.3057637	748.7236248	910.9597443	762.0812771	816.5800408	820.9029869	812.6488732	767.8178172	805.4732333	732.843956	703.2831448	983.3057637	748.7236248	910.9597443	762.0812771	816.5800408	820.9029869	812.6488732	767.8178172	805.4732333	732.843956	703.2831448
1367485_at	1163.52753	957.0622748	995.6074664	964.7417729	937.8713576	1008.336123	991.2651899	976.1752597	955.3614344	948.6959165	970.4559131	1163.52753	957.0622748	995.6074664	964.7417729	937.8713576	1008.336123	991.2651899	976.1752597	955.3614344	948.6959165	970.4559131
1367486_at	248.7869893	358.0005043	212.6547383	335.9493184	264.2519996	297.4846329	272.7694394	290.5232986	263.4236762	279.3570091	290.5788301	248.7869893	358.0005043	212.6547383	335.9493184	264.2519996	297.4846329	272.7694394	290.5232986	263.4236762	279.3570091	290.5788301
1367487_at	190.3862637	173.8022081	166.0950898	160.174204	171.6927944	160.5590745	163.3497647	163.7857859	166.0628663	167.6541575	177.3514577	190.3862637	173.8022081	166.0950898	160.174204	171.6927944	160.5590745	163.3497647	163.7857859	166.0628663	167.6541575	177.3514577
1367488_at	292.9117592	250.5318581	354.0144956	273.8190777	313.759411	278.2275679	284.4889646	278.811605	294.902967	293.4203905	290.0601076	292.9117592	250.5318581	354.0144956	273.8190777	313.759411	278.2275679	284.4889646	278.811605	294.902967	293.4203905	290.0601076
1367489_at	82.8346691	64.61255128	95.5133614	71.41006696	78.9627634	72.59289944	72.29498958	73.49820109	77.73599358	79.27891793	77.61293856	82.8346691	64.61255128	95.5133614	71.41006696	78.9627634	72.59289944	72.29498958	73.49820109	77.73599358	79.27891793	77.61293856
1367490_at	157.5631783	150.9136847	171.3808791	153.5584616	153.6437603	148.9414577	156.095825	152.7881419	161.7066333	146.6825229	160.6859359	157.5631783	150.9136847	171.3808791	153.5584616	153.6437603	148.9414577	156.095825	152.7881419	161.7066333	146.6825229	160.6859359
1367491_at	421.3586487	479.9384015	371.3890902	451.5016804	391.3118152	436.6969461	401.5053216	430.6479053	407.2085798	423.3606257	414.656897	421.3586487	479.9384015	371.3890902	451.5016804	391.3118152	436.6969461	401.5053216	430.6479053	407.2085798	423.3606257	414.656897
1367492_at	723.6338394	503.3689661	596.9696982	489.0891701	548.8029198	530.1286121	544.1734797	529.5838246	541.7696998	521.0277325	484.3924449	723.6338394	503.3689661	596.9696982	489.0891701	548.8029198	530.1286121	544.1734797	529.5838246	541.7696998	521.0277325	484.3924449
1367493_at	440.4971733	446.1279786	452.1525907	453.1409635	453.1899737	441.0140049	445.8233339	431.5673977	433.2842539	434.5457555	453.0708981	440.4971733	446.1279786	452.1525907	453.1409635	453.1899737	441.0140049	445.8233339	431.5673977	433.2842539	434.5457555	453.0708981
1367494_at	621.1401419	718.6325744	578.5070035	649.1235753	604.3829616	653.9446873	634.1796759	618.0114976	601.3597102	592.9900728	588.5350959	621.1401419	718.6325744	578.5070035	649.1235753	604.3829616	653.9446873	634.1796759	618.0114976	601.3597102	592.9900728	588.5350959
1367495_at	239.6864621	172.8323199	237.2933055	197.4435496	212.5320188	198.9173992	198.8244111	195.1965274	189.5641815	190.3832424	185.0404011	239.6864621	172.8323199	237.2933055	197.4435496	212.5320188	198.9173992	198.8244111	195.1965274	189.5641815	190.3832424	185.0404011
1367496_at	1593.57354	1563.271556	1212.634859	1453.028399	1358.57948	1525.029121	1481.522271	1482.877819	1379.42186	1419.066771	1410.374968	1593.57354	1563.271556	1212.634859	1453.028399	1358.57948	1525.029121	1481.522271	1482.877819	1379.42186	1419.066771	1410.374968
1367497_at	367.9930395	281.5565757	384.0896771	319.9739089	359.4650716	322.8800425	330.4829851	324.8987929	329.1199347	318.4033587	312.7665878	367.9930395	281.5565757	384.0896771	319.9739089	359.4650716	322.8800425	330.4829851	324.8987929	329.1199347	318.4033587	312.7665878
1367498_at	357.2354264	330.3382854	317.9022242	325.9563138	318.1598912	331.4048793	339.6446129	312.3686902	304.3446498	288.515224	302.1386427	357.2354264	330.3382854	317.9022242	325.9563138	318.1598912	331.4048793	339.6446129	312.3686902	304.3446498	288.515224	302.1386427
1367499_at	134.1722441	142.0031877	121.4296367	123.1512373	123.7443361	133.1096267	122.7982277	125.1111381	124.2990745	123.054314	130.4903528	134.1722441	142.0031877	121.4296367	123.1512373	123.7443361	133.1096267	122.7982277	125.1111381	124.2990745	123.054314	130.4903528
1367500_at	946.4597969	885.7226427	780.7400729	814.2911032	792.3959032	853.9260177	817.4182523	820.541744	783.9748921	767.348767	786.6188484	946.4597969	885.7226427	780.7400729	814.2911032	792.3959032	853.9260177	817.4182523	820.541744	783.9748921	767.348767	786.6188484
1367501_at	230.9842089	272.9276674	249.5005632	265.0756095	250.0360659	256.1301488	250.2550659	250.9829623	249.3223614	260.0781872	275.9164184	230.9842089	272.9276674	249.5005632	265.0756095	250.0360659	256.1301488	250.2550659	250.9829623	249.3223614	260.0781872	275.9164184
1367502_at	200.2257294	255.208893	230.2312474	248.3433119	225.8839885	227.7351216	224.8941775	237.1441949	217.2358788	223.3549033	233.8593147	200.2257294	255.208893	230.2312474	248.3433119	225.8839885	227.7351216	224.8941775	237.1441949	217.2358788	223.3549033	233.8593147
1367503_at	887.2672243	1081.726765	852.3507093	1026.54037	905.5841693	1008.298949	972.6622722	955.4021348	903.7705391	962.9594084	983.5659658	887.2672243	1081.726765	852.3507093	1026.54037	905.5841693	1008.298949	972.6622722	955.4021348	903.7705391	962.9594084	983.5659658
1367504_at	214.8184433	219.0054993	226.2085335	230.9540358	226.9263359	220.5048753	212.9511479	214.286749	214.0588653	217.8008223	219.7205195	214.8184433	219.0054993	226.2085335	230.9540358	226.9263359	220.5048753	212.9511479	214.286749	214.0588653	217.8008223	219.7205195
1367505_at	296.6137231	283.421749	334.9128025	318.9732413	292.9553968	299.8014732	291.5878533	279.2100815	294.1757499	292.970136	289.4120464	296.6137231	283.421749	334.9128025	318.9732413	292.9553968	299.8014732	291.5878533	279.2100815	294.1757499	292.970136	289.4120464
1367506_at	285.5658104	442.1585819	363.5884941	439.0277844	383.6170629	399.5474028	393.9657217	383.7882621	362.2853516	405.3601583	424.8615631	285.5658104	442.1585819	363.5884941	439.0277844	383.6170629	399.5474028	393.9657217	383.7882621	362.2853516	405.3601583	424.8615631
1367507_at	65.70947765	81.17852413	57.07889185	77.9509695	63.7314888	67.05312462	70.31059708	65.10275984	66.69419428	61.10076402	74.48038383	65.70947765	81.17852413	57.07889185	77.9509695	63.7314888	67.05312462	70.31059708	65.10275984	66.69419428	61.10076402	74.48038383
1367508_at	200.6585424	267.2270469	239.5671531	283.5428369	247.2560786	251.4089544	247.778506	246.9898847	231.6027643	237.8194151	256.7350134	200.6585424	267.2270469	239.5671531	283.5428369	247.2560786	251.4089544	247.778506	246.9898847	231.6027643	237.8194151	256.7350134
1367509_at	630.6109663	576.277173	693.1960694	611.7100003	647.8077635	610.1231253	614.3073196	618.3476624	660.1167552	636.2670411	653.0278156	630.6109663	576.277173	693.1960694	611.7100003	647.8077635	610.1231253	614.3073196	618.3476624	660.1167552	636.2670411	653.0278156
1367510_at	507.4140423	544.7602051	572.1520405	584.7864711	545.0393231	538.047072	577.8104591	526.5520148	536.1767488	548.5612498	553.1609297	507.4140423	544.7602051	572.1520405	584.7864711	545.0393231	538.047072	577.8104591	526.5520148	536.1767488	548.5612498	553.1609297
1367511_at	274.3114674	269.941035	191.9184242	220.8747631	214.1745868	244.6507838	229.1192121	223.5040398	198.90641	203.4471875	206.9566488	274.3114674	269.941035	191.9184242	220.8747631	214.1745868	244.6507838	229.1192121	223.5040398	198.90641	203.4471875	206.9566488
1367512_at	2797.378525	2062.020707	2478.971925	1999.47995	2307.560463	2258.376496	2275.987706	2254.816606	2259.319561	2159.850696	2105.024803	2797.378525	2062.020707	2478.971925	1999.47995	2307.560463	2258.376496	2275.987706	2254.816606	2259.319561	2159.850696	2105.024803
1367513_at	210.8028369	204.8125352	184.3277147	182.7731399	167.8646106	190.3393981	191.4168997	182.800231	168.4335941	181.5766772	175.0472893	210.8028369	204.8125352	184.3277147	182.7731399	167.8646106	190.3393981	191.4168997	182.800231	168.4335941	181.5766772	175.0472893
1367514_at	140.152764	150.3253696	127.3685995	139.7847685	129.3785272	138.7031705	131.1236885	125.0487839	121.7413786	129.2569507	132.0185224	140.152764	150.3253696	127.3685995	139.7847685	129.3785272	138.7031705	131.1236885	125.0487839	121.7413786	129.2569507	132.0185224
1367515_at	387.0084172	283.5092534	451.2040416	350.3093405	421.5169648	331.0071717	343.3292286	359.5226545	414.8757117	384.1189161	363.4523711	387.0084172	283.5092534	451.2040416	350.3093405	421.5169648	331.0071717	343.3292286	359.5226545	414.8757117	384.1189161	363.4523711
1367516_at	210.7771443	232.919042	282.4380243	271.7973501	259.4493838	220.8977389	255.673038	250.6038094	240.732498	258.9691485	260.2766535	210.7771443	232.919042	282.4380243	271.7973501	259.4493838	220.8977389	255.673038	250.6038094	240.732498	258.9691485	260.2766535
1367517_at	242.7523181	211.3031826	169.5894394	174.188177	178.8453354	191.7713027	181.9416494	178.5300979	163.9042627	148.9911146	152.0719019	242.7523181	211.3031826	169.5894394	174.188177	178.8453354	191.7713027	181.9416494	178.5300979	163.9042627	148.9911146	152.0719019
1367518_at	327.5311157	264.4430001	432.2264262	330.6270533	378.7921018	302.9732008	341.2913905	340.345442	365.524425	373.8213431	358.8488042	327.5311157	264.4430001	432.2264262	330.6270533	378.7921018	302.9732008	341.2913905	340.345442	365.524425	373.8213431	358.8488042
1367519_at	361.3305208	330.5757967	392.4220459	345.9149421	363.2896917	333.925997	353.9909167	357.9464742	336.0057676	341.2467318	355.4916648	361.3305208	330.5757967	392.4220459	345.9149421	363.2896917	333.925997	353.9909167	357.9464742	336.0057676	341.2467318	355.4916648
1367520_at	462.8084867	522.7884543	484.3014601	525.0224398	491.5604684	488.481859	503.7218108	495.6216597	460.494805	474.5450723	472.9732686	462.8084867	522.7884543	484.3014601	525.0224398	491.5604684	488.481859	503.7218108	495.6216597	460.494805	474.5450723	472.9732686
1367521_at	102.1347166	86.90840556	82.78900238	83.56422657	85.75668435	85.10836039	88.91191599	80.4878413	79.6188531	76.20381679	76.39798691	102.1347166	86.90840556	82.78900238	83.56422657	85.75668435	85.10836039	88.91191599	80.4878413	79.6188531	76.20381679	76.39798691
1367522_at	257.9876649	292.2303084	268.0982877	265.3616651	261.4760419	265.5206122	263.6502188	247.8570255	250.9905142	266.9795313	266.7028074	257.9876649	292.2303084	268.0982877	265.3616651	261.4760419	265.5206122	263.6502188	247.8570255	250.9905142	266.9795313	266.7028074
1367523_at	417.9498476	339.4752533	448.720067	388.0156775	413.4742333	379.3095938	411.1844937	378.3275074	381.1534211	380.3073274	373.6187261	417.9498476	339.4752533	448.720067	388.0156775	413.4742333	379.3095938	411.1844937	378.3275074	381.1534211	380.3073274	373.6187261
1367524_at	97.05365437	110.3523042	79.22383969	95.65885227	86.33551503	91.22311536	85.54752718	88.67981075	88.69619706	95.2325893	95.856182	97.05365437	110.3523042	79.22383969	95.65885227	86.33551503	91.22311536	85.54752718	88.67981075	88.69619706	95.2325893	95.856182
1367525_at	605.0878072	520.6708969	471.1446968	461.8372193	480.4186771	519.8662022	514.1872357	490.9839922	465.4256794	455.6550207	450.190721	605.0878072	520.6708969	471.1446968	461.8372193	480.4186771	519.8662022	514.1872357	490.9839922	465.4256794	455.6550207	450.190721
1367526_at	351.6596043	409.8339494	394.9695488	410.2416395	404.7568814	373.0379048	373.8360086	375.4666152	383.1871918	381.7425823	393.7518532	351.6596043	409.8339494	394.9695488	410.2416395	404.7568814	373.0379048	373.8360086	375.4666152	383.1871918	381.7425823	393.7518532
1367527_at	183.7431309	199.4978838	208.802155	218.7241792	204.0658171	201.9647862	198.3488621	202.1620879	201.4102592	189.710437	197.9055062	183.7431309	199.4978838	208.802155	218.7241792	204.0658171	201.9647862	198.3488621	202.1620879	201.4102592	189.710437	197.9055062
1367528_at	307.0164754	318.6927802	248.6201565	270.9013185	257.1698449	283.0911889	285.4474716	278.8347113	268.4789753	245.6703318	273.1813187	307.0164754	318.6927802	248.6201565	270.9013185	257.1698449	283.0911889	285.4474716	278.8347113	268.4789753	245.6703318	273.1813187
1367529_at	258.4796154	333.6832208	259.4315477	311.903146	272.4860273	289.3564488	295.5768739	292.9646785	280.1398297	288.2656244	307.7252462	258.4796154	333.6832208	259.4315477	311.903146	272.4860273	289.3564488	295.5768739	292.9646785	280.1398297	288.2656244	307.7252462
1367530_at	384.7369169	301.3755597	501.1933295	391.9082128	452.8721607	373.9975555	393.8883614	398.3959634	421.5722249	420.9979862	435.794901	384.7369169	301.3755597	501.1933295	391.9082128	452.8721607	373.9975555	393.8883614	398.3959634	421.5722249	420.9979862	435.794901
1367531_at	1225.952181	940.4668614	1162.777335	1002.0379	1095.174601	1035.480406	1085.228452	1047.150094	1053.685363	1022.303917	1020.243368	1225.952181	940.4668614	1162.777335	1002.0379	1095.174601	1035.480406	1085.228452	1047.150094	1053.685363	1022.303917	1020.243368
1367532_at	2382.184603	1885.769569	1558.663553	1601.546022	1613.153879	1835.608731	1793.094838	1737.194468	1645.693364	1581.345747	1564.475895	2382.184603	1885.769569	1558.663553	1601.546022	1613.153879	1835.608731	1793.094838	1737.194468	1645.693364	1581.345747	1564.475895
1367533_at	474.4687341	406.7583661	632.6203308	510.9123227	543.5703548	461.8578269	515.0644713	490.219942	528.9374692	513.8787822	516.8353712	474.4687341	406.7583661	632.6203308	510.9123227	543.5703548	461.8578269	515.0644713	490.219942	528.9374692	513.8787822	516.8353712
1367534_at	483.927499	326.9053605	401.3219605	330.5623869	393.4848479	364.0441804	385.7793267	348.2061492	345.2777475	325.4551287	315.787394	483.927499	326.9053605	401.3219605	330.5623869	393.4848479	364.0441804	385.7793267	348.2061492	345.2777475	325.4551287	315.787394
1367535_at	138.9769305	177.272051	174.1544356	180.0432374	173.6082843	156.5120395	154.5054397	166.8193121	186.6633205	196.9953165	192.3951	138.9769305	177.272051	174.1544356	180.0432374	173.6082843	156.5120395	154.5054397	166.8193121	186.6633205	196.9953165	192.3951
1367536_at	129.7957281	177.1690872	119.5019888	153.2751768	122.3158586	140.3925578	144.4180702	140.134112	132.6704232	130.9060842	134.4475776	129.7957281	177.1690872	119.5019888	153.2751768	122.3158586	140.3925578	144.4180702	140.134112	132.6704232	130.9060842	134.4475776
1367537_at	186.363933	160.0232267	173.5067316	169.9550503	166.1855499	173.8151386	171.1321335	170.0612222	157.946168	150.4400396	161.6036172	186.363933	160.0232267	173.5067316	169.9550503	166.1855499	173.8151386	171.1321335	170.0612222	157.946168	150.4400396	161.6036172
1367538_at	583.0107759	396.1643899	510.4562019	415.0464467	456.8149633	445.3382195	453.8338913	437.2205829	432.7807306	398.4322901	386.447696	583.0107759	396.1643899	510.4562019	415.0464467	456.8149633	445.3382195	453.8338913	437.2205829	432.7807306	398.4322901	386.447696
1367539_at	469.9004564	394.9038884	370.3522974	353.6102372	358.4466724	391.000189	367.0377723	357.2468129	351.1088544	341.5567586	338.8275932	469.9004564	394.9038884	370.3522974	353.6102372	358.4466724	391.000189	367.0377723	357.2468129	351.1088544	341.5567586	338.8275932
1367540_at	157.3039577	155.7912001	113.9073842	138.7658223	124.7743552	138.4242335	134.1485518	126.8008069	120.7026338	108.6664488	114.9143801	157.3039577	155.7912001	113.9073842	138.7658223	124.7743552	138.4242335	134.1485518	126.8008069	120.7026338	108.6664488	114.9143801
1367541_at	221.7721898	240.773122	264.3473431	274.7487325	253.9575681	253.336868	254.3001792	244.5054355	246.668056	241.5423309	256.3063169	221.7721898	240.773122	264.3473431	274.7487325	253.9575681	253.336868	254.3001792	244.5054355	246.668056	241.5423309	256.3063169
1367542_at	261.9605676	245.1277633	170.7262744	201.4575618	186.0290874	230.1302477	211.0078938	202.3831769	185.2144952	188.5463696	190.9795476	261.9605676	245.1277633	170.7262744	201.4575618	186.0290874	230.1302477	211.0078938	202.3831769	185.2144952	188.5463696	190.9795476
1367543_at	232.6846192	278.0637971	202.5489129	243.7627532	226.8038975	236.0652062	234.84629	222.3084047	215.4550292	216.9560366	218.293922	232.6846192	278.0637971	202.5489129	243.7627532	226.8038975	236.0652062	234.84629	222.3084047	215.4550292	216.9560366	218.293922
1367544_at	151.4267014	126.0622881	134.026333	126.195228	135.5992592	127.867628	129.5725616	127.7182096	115.5243692	111.8639301	119.1289765	151.4267014	126.0622881	134.026333	126.195228	135.5992592	127.867628	129.5725616	127.7182096	115.5243692	111.8639301	119.1289765
1367545_at	287.3315049	220.8891845	276.8414674	236.1210491	259.5837335	245.6832278	249.0716734	242.9187267	250.5970521	226.9627803	230.3444092	287.3315049	220.8891845	276.8414674	236.1210491	259.5837335	245.6832278	249.0716734	242.9187267	250.5970521	226.9627803	230.3444092
1367546_at	621.5230232	710.9400537	538.4003718	665.4099989	620.9630993	643.9281897	623.8090024	598.656047	599.1251967	619.8822375	613.3288436	621.5230232	710.9400537	538.4003718	665.4099989	620.9630993	643.9281897	623.8090024	598.656047	599.1251967	619.8822375	613.3288436
1367547_at	504.1473306	350.4299465	491.0410016	381.4880197	435.5679157	396.0464992	420.5847006	405.3526951	421.591317	381.5290763	407.5764913	504.1473306	350.4299465	491.0410016	381.4880197	435.5679157	396.0464992	420.5847006	405.3526951	421.591317	381.5290763	407.5764913
1367548_at	168.0280317	175.3952531	175.605418	181.0305735	175.8650007	176.5274348	172.7535526	172.8035919	173.5142252	182.5899402	191.5769481	168.0280317	175.3952531	175.605418	181.0305735	175.8650007	176.5274348	172.7535526	172.8035919	173.5142252	182.5899402	191.5769481
1367549_a_at	1812.115528	1334.043356	2071.088263	1545.042327	1824.033139	1557.456829	1678.638115	1655.683453	1732.133863	1599.919075	1639.319349	1812.115528	1334.043356	2071.088263	1545.042327	1824.033139	1557.456829	1678.638115	1655.683453	1732.133863	1599.919075	1639.319349
1367550_a_at	315.7866063	291.5426517	324.4964473	309.2326912	316.4708542	299.9678971	301.5087942	296.0867121	293.2285291	296.716638	273.0140218	315.7866063	291.5426517	324.4964473	309.2326912	316.4708542	299.9678971	301.5087942	296.0867121	293.2285291	296.716638	273.0140218
1367551_a_at	476.714541	520.8969648	406.921501	491.1872207	419.9230492	460.0359877	447.1330387	442.3833475	400.9988759	421.0122621	425.1041607	476.714541	520.8969648	406.921501	491.1872207	419.9230492	460.0359877	447.1330387	442.3833475	400.9988759	421.0122621	425.1041607
1367552_at	12.14108568	12.56604934	12.43756473	12.31165929	11.51595566	11.29895854	10.88595803	11.7825732	12.02311769	12.50015235	12.80838257	12.14108568	12.56604934	12.43756473	12.31165929	11.51595566	11.29895854	10.88595803	11.7825732	12.02311769	12.50015235	12.80838257
